word,dialect,definition,example_runyoro,example_rutooro,related_words
Adyeri,Runyoro-Rutooro,"pet name given to a person by his/her parents at birth, particularly if the name given to her/him is Kaikara (woman) or Rwakaikara (man). aga- gen. part.for nouns in cl.6, to which possessive roots and self-standing pronouns are added to form possessives","pet name given to a person by his/her parents at birth (particularly if the name given to her/him is Kaikara (woman) or Rwakaikara (man). aga- gen. part.for nouns in cl.6, to which possessive roots and self-standing pronouns are added to form possessives)",,pl: Baadyeri
Bisuma,Runyoro-Rutooro,used only inpl.fonn,,,
Butwarane,Runyoro-Rutooro,"large dnun of the King of Tooro (beaten when he goes out to fight). butweke, o-, n. c/.14 (pl. nil","large dnun of the King of Tooro (beaten when he goes out to fight). butweke (o-, n. c/.14 (pl. nil))",,pl: Zaabutwarane
Bwikya,Runyoro-Rutooro,"house of the queen consort. bwimi, o-, 11. cl. 14, (pl. nil), meanness, stinginess",,,pl: maikya
abaabana,Runyoro-Rutooro,"to disperse, separate, wail with signs of despair","to disperse (separate, wail with signs of despair)",,pr. form: abaabat; c. form: abaabai; pass. form: ahaabaniubwa
abaabata,Runyoro-Rutooro,"to grope about, feel for",to grope about (feel for),,pr. form: abaabatira; c. form: abaabasa; pass. form: ahaahasihwa; pl: Baabbooki
abdomen,Runyoro-Rutooro,enda,"lower a., enderalera. abhor, v., nuga, tamwa, noba, fuuhya","lower a., enderalera. abhor, v., nuga, tamwa, noba, fuuhya",
abhorrence,Runyoro-Rutooro,"omuhuro, ekitaamisi. abide, v., raara, tuura, ikara, sigara. ability, v., amagezi, obugizi, obusobozi hondera. able, be, n., sobora. aboard, go, gwerra omubwato",,,
abiirra,Runyoro-Rutooro,"to show signs on the face of approaching death, be near death. Obu yaboine omurwaire we yatandika l.wabiirra aho yamanya ngu okufa !we kwahika, she realized that her patient was near death when his face started showing signs of dying","to show signs on the face of approaching death (be near death. Obu yaboine omurwaire we yatandika l.wabiirra aho yamanya ngu okufa !we kwahika, she realized that her patient was near death when his face started showing signs of dying)",,pr. form: abiriirra
abode,Runyoro-Rutooro,"dibya, hwerekereza, fuuhya. abominable, -adj. (a)omuziro, -nugwa, ihano",,,
aborigine,Runyoro-Rutooro,saagaana,,,
about,Runyoro-Rutooro,"nka. about,prep., ha. about to, be, ba haihi, ija, sana, genda, malize",,,
above,Runyoro-Rutooro,"above, pr\varphi. , haruguru ya. abreast, be, adv. inganaingana. abridge, cwaho, saraho, cwa k igufu. abscess, ekizimba","see wania, ifumbi. absent, be, yosa, buraho. absent-minded, be, adj. IV hungutuka, huga omutima, hugutana, kangaza. absolution, kwihwaho ebibi, okubohororwa, okuganyirwa. absolve, v. ihaho ebibi, ganyira, bohoorra. absorb, v. nywa, mara(ho). abstain (from) v., leka, erekesa, eyangisa, etantara. abundance, ensaagi, obwingi, omweru, ekiyooro, okusaagaana, okusaagiirra, ekidoomooro, ekityokoro, orucaca, endurundu, obuhiihi, empinga, obuhumbe. abundant,-ingi; see wania","see wania, ifumbi. absent, be, yosa, buraho. absent-minded, be, adj. IV hungutuka, huga omutima, hugutana, kangaza. absolution, kwihwaho ebibi, okubohororwa, okuganyirwa. absolve, v. ihaho ebibi, ganyira, bohoorra. absorb, v. nywa, mara(ho). abstain (from) v., leka, erekesa, eyangisa, etantara. abundance, ensaagi, obwingi, omweru, ekiyooro, okusaagaana, okusaagiirra, ekidoomooro, ekityokoro, orucaca, endurundu, obuhiihi, empinga, obuhumbe. abundant,-ingi; see wania",wania
abuka,Runyoro-Rutooro,"to come to an end, come to a stop, break up (e.g. market, festivity","to come to an end (come to a stop, break up (e.g. market, festivity))",,c. form: ab; pass. form: abukibwa
abukana,Runyoro-Rutooro,to part from. dlffer,,,c. form: ahukalliza; pass. form: altukallitibwa
abura,Runyoro-Rutooro,"to groan, wail, lament","to groan (wail, lament)",,c. form: ab
abuse,Runyoro-Rutooro,"ikiriza, toora, akuura",,,etebeekeerra
abuuka,Runyoro-Rutooro,ekyamwabu ukya haikaliire kiki? what bas made him/her rise up quickly?,,,c. form: abuukya
abuurra,Runyoro-Rutooro,"to undo, unfasten",to undo (unfasten),,c. form: aburuza; pass. form: aburl; pl: Baabwoli
accidentally,Runyoro-Rutooro,habw'obutandwa,"he did it a., atakigendeerre, atakigendeeri ire. accompany, v. genda na(or hamu), sendekereza, kuraati:ra, jeijeza (Omukama). acquiesce, v. ikiriza. acquire, v. tunga","he did it a., atakigendeerre, atakigendeeri ire. accompany, v. genda na(or hamu), sendekereza, kuraati:ra, jeijeza (Omukama). acquiesce, v. ikiriza. acquire, v. tunga",butanwa
accordingly,Runyoro-Rutooro,"kanya, etuuma, esorooza. active, -(a) emirirno, -(a) amaani, kurrukana. accusation, ekirego, omusango, rumiiriza, tiika. adam's apple, ek. iimironko. accuse, v. tura. lega, nyegeerra, hangiirra, birikiirra, tembeeka, hambiriza, tonga kubi, hendeerra, hyangya, dikiza, rumiiriza, tiika. adapt, semeza, inganainganiza, foora, gorora. add, gaarraabo, ongeraho, taho, bara, gaita, kanyisa, teeraniza, twengekeerra. accuser, n, omulegi, omunyegerezi, omubangirizi, omuhenderezi, omubirikirizi, kinyegeerra, omurumiiriza. adder, empoma, wahimbiri. addled,-(a) ebiyaga, rotten eggs. accustom, manyiiza","see -ti. across; see -ti. across, go, yambuka. account for, bara omuhendo, baarra, soboorra ebi okozere/ebi orabiremu. across,nseeri. across 'place', kiika. account of, on, habwa, obwa, sigikira. act, n., ekigambo, ek:ikorwa, engeso. accountant, omubazi w'ebitabu by'ensimbi. act, v., kora, gira. accumulate, v.i., kanya, etuuma, esorooza. active, -(a) emirirno, -(a) amaani, kurrukana. accusation, ekirego, omusango, rumiiriza, tiika. adam's apple, ek. iimironko. accuse, v. tura. lega, nyegeerra, hangiirra, birikiirra, tembeeka, hambiriza, tonga kubi, hendeerra, hyangya, dikiza, rumiiriza, tiika. adapt, semeza, inganainganiza, foora, gorora. add, gaarraabo, ongeraho, taho, bara, gaita, kanyisa, teeraniza, twengekeerra. accuser, n, omulegi, omunyegerezi, omubangirizi, omuhenderezi, omubirikirizi, kinyegeerra, omurumiiriza. adder, empoma, wahimbiri. addled,-(a) ebiyaga, rotten eggs. accustom, manyiiza","see -ti. across; see -ti. across, go, yambuka. account for, bara omuhendo, baarra, soboorra ebi okozere/ebi orabiremu. across,nseeri. across 'place', kiika. account of, on, habwa, obwa, sigikira. act, n., ekigambo, ek:ikorwa, engeso. accountant, omubazi w'ebitabu by'ensimbi. act, v., kora, gira. accumulate, v.i., kanya, etuuma, esorooza. active, -(a) emirirno, -(a) amaani, kurrukana. accusation, ekirego, omusango, rumiiriza, tiika. adam's apple, ek. iimironko. accuse, v. tura. lega, nyegeerra, hangiirra, birikiirra, tembeeka, hambiriza, tonga kubi, hendeerra, hyangya, dikiza, rumiiriza, tiika. adapt, semeza, inganainganiza, foora, gorora. add, gaarraabo, ongeraho, taho, bara, gaita, kanyisa, teeraniza, twengekeerra. accuser, n, omulegi, omunyegerezi, omubangirizi, omuhenderezi, omubirikirizi, kinyegeerra, omurumiiriza. adder, empoma, wahimbiri. addled,-(a) ebiyaga, rotten eggs. accustom, manyiiza",
ache,Runyoro-Rutooro,"oburumi, obunyamarumbu, entoto, emioyinyo, enkeoyera. adjacent, be, ba haihi, hereera, heerraana, taana. ache, v., teera, saasa, henangwa, rumwa, ceenya, huruuta, tonokora. adjudicate, v. ramura, cwa omusango. adjure, v., rabiza, nywisa obumara. achieve, hikiriza, tuoga ekyotaaha nokoleerra. adjust, v., kiraanura, semeza. administer, v., ha, gaba, roleerra. acid, be, saarra, tuerra. acid,foreg",,,
address,Runyoro-Rutooro,"endagiirro, ekiikaro",,,etebeekeerra
admiration,Runyoro-Rutooro,"okuhaisaniza, obwegombi, ligira. acknowledge, v. gamba, ik.iriza, atura",,,
admittance,Runyoro-Rutooro,"kwikiriza, kutaabya. admonish, v., hana, habura, tegeka. adolescent, omusigazi, omunyeete. adopt, v. foora omwana",a. custom,a. custom,
adoration,Runyoro-Rutooro,"okukugiza, okuramya. adore, v., kugiza, ramya, nyumiza. adorn, v., semeza, taho amajahya, jweka",,,
adornment,Runyoro-Rutooro,"obwecumi, amajahya. adult, adj., -kuru",,,
adult,Runyoro-Rutooro,omuntu omukuru,,,
adulterer,Runyoro-Rutooro,"omusiihani. adultery 'commit', v., siihana, kuteerana aheeru y'obuswezi obwikiriziibwe",,,
adultery,Runyoro-Rutooro,"genda omumaiso, ebembera. advance, v.tr., kuza, sindika",,,
adversary,Runyoro-Rutooro,"omuzigu, omunyanzigwa. adversity, enaku, obunaku, obwinazi, omuhito, obujune",,,
advice,Runyoro-Rutooro,"obulyo, amagezi, obuhanuuzi, obuhabuzi, empanangano. advise, v., habura, hanuurra, ha amagezi, cwera amagezi. adviser, omuhani, omuhanuuzi, omuhi w'amagezi, omuhabuzi",,,
adze,Runyoro-Rutooro,"embaijo, endemu, endyamiti, empango",,,
afar,Runyoro-Rutooro,hara,,,
